gauge_id,gauge_lat,gauge_lon,GPP_MODIS_gCperm2yr,NPP_MODIS_gCperm2yr,GPP_gCperm2yr,C4_fraction,C4_fraction_un
9510200,33.69421,-111.5418,298.2608696,125.5956522,319.73846,32.18209733,1.344180312
9512280,33.88726,-111.95404,355.9173913,157.3,275.3334,32.18209733,1.344180312
9513780,33.9742,-112.09905,288.0434783,133.2130435,261.20413,27.86202948,1.733087367
10023000,41.60994,-111.25409,310.0130435,208.526087,267.19495,16.19310256,1.789805231
10166430,40.40523,-112.1005,358.8652174,223.4043478,850.1124,39.61871982,3.473004096
10172700,39.97939,-112.38023,409.9173913,249.3130435,461.75278,32.71441894,3.152364119
10172800,40.49633,-112.5744,490.0521739,284.1695652,831.0617,45.34730067,3.543791194
10173450,37.62276,-112.51688,371.4913043,246.6086957,580.5533,17.14661597,2.59564372
10205030,38.91191,-111.53047,426.8913043,270.9826087,656.83344,17.06116916,2.652394711
10234500,38.28053,-112.56827,582.6434783,394.2913043,519.1441,23.19658991,3.081423806
10242000,37.6722,-113.03467,305.2869565,201.0913043,438.43906,30.47919509,3.435582265
10244950,39.20154,-114.68916,383.3217391,242.5173913,536.6724,17.66461824,2.76090108
10249300,38.88743,-117.24537,204.8521739,125.6565217,111.90888,21.14291877,2.560960755
10258000,33.80502,-116.55918,244.7608696,127.1434783,258.8844,12.458726,1.365195761
10258500,33.74502,-116.53557,249.7347826,131.4869565,56.876766,12.458726,1.365195761
10259000,33.76002,-116.55002,296.5347826,155.8,359.58817,12.458726,1.365195761
10259200,33.63114,-116.39223,133.9304348,54.8,41.92159,17.12947703,3.244393779
10263500,34.42083,-117.83951,375.1913043,202.2130435,485.7129,3.715133402,0.415440792
10310500,39.11324,-119.79824,322.5347826,209.8391304,328.17,12.70697885,1.986022285
10316500,40.69076,-115.477,441.4304348,271.1130435,778.70685,22.91720449,2.435829202
10329500,41.53462,-117.41791,200.9695652,128.0608696,172.18842,30.24309949,2.401065872
10336645,39.05185,-120.11852,1055.486957,577.1217391,337.28375,,
10336660,39.10741,-120.16214,999.873913,547.4130435,1145.0715,,
10336740,39.06658,-119.93546,960.8521739,564.7173913,886.5484,12.70697885,1.986022285
10343500,39.43157,-120.23798,975.6173913,488.2434783,1469.9722,,
10348850,39.35435,-119.85852,832.9173913,475.3434783,1106.4438,12.70697885,1.986022285
10396000,42.79083,-118.8675,358.3652174,232.9956522,263.9617,23.46084795,2.426998448
11098000,34.22223,-118.17757,1141.521739,724.9434783,1235.4714,11.69832573,1.181874636
11124500,34.59666,-119.90875,1350.591304,935.9217391,903.50604,12.63957611,1.395124285
11141280,35.23553,-120.47239,1991.16087,1335.569565,1515.6339,17.99930343,1.298502697
11143000,36.2458,-121.77329,2991.308696,1899.552174,875.6867,,
11148900,35.78858,-121.09381,1444.921739,1013.678261,1207.0851,,
11151300,36.26802,-121.0663,618.9695652,383.4,627.41266,11.83373385,0.555275887
11162500,37.26078,-122.32886,2936.782609,1867.356522,2066.7798,0.0768273,
11176400,37.56132,-121.68384,1412.852174,967.8391304,880.6199,17.7309252,1.663694062
11180500,37.60605,-122.02385,6553,,938.1572,0.102021358,
11180960,37.71771,-122.05441,6553,,1444.4059,0.102021358,
11224500,36.21468,-120.47071,505.1478261,281.5304348,438.20935,26.17627257,0.680603575
11230500,37.33939,-118.97345,810.4565217,569.1130435,830.7608,6.979193519,1.296133938
11237500,37.19856,-119.21373,753.3478261,406.0652174,1280.7036,0.016245058,
11253310,36.40217,-120.43349,375.8347826,212.9173913,376.58994,26.17627257,0.680603575
11264500,37.73159,-119.55877,1093.169565,734.4521739,971.657,0.025111013,
11266500,37.71687,-119.66628,1244.213043,664.5652174,1374.7095,0.025111013,
11274500,37.31549,-121.12521,575.7217391,364.2695652,592.6416,11.95861741,1.16798126
11274630,37.4866,-121.2091,672.2347826,411.9304348,567.1619,11.95861741,1.16798126
11284400,37.84187,-120.18491,1045.747826,664.3391304,1392.3314,22.91530577,2.616943664
11299600,37.96104,-120.6152,933.0565217,594.126087,798.72565,20.31397801,1.020734864
11381500,40.0546,-122.02415,723.8565217,450.7869565,378.06723,21.06626115,2.797050122
11383500,40.01405,-121.94832,649.9434783,396.6391304,455.36758,0.049257238,
11451100,39.16545,-122.61999,846.5130435,488.1478261,1293.2535,13.1831728,1.589456698
11468500,39.42822,-123.73779,2296.869565,1307.673913,2421.0574,0.072682825,
11473900,39.70627,-123.32529,1137.926087,749.2956522,1556.6384,,
11475560,39.7296,-123.64391,2329.456522,1201.673913,2370.486,,
11476600,40.35125,-124.00393,2112.434783,1165.773913,2517.4707,0.201324774,
11478500,40.48042,-123.89088,1784.934783,912.473913,2142.849,,
11480390,40.28431,-123.3353,1023.543478,584.8652174,1567.4716,,
11481200,41.01096,-124.08173,2292.26087,1481.630435,2610.6206,,
11482500,41.29929,-124.05118,2273.734783,1312.821739,1701.4102,,
11522500,41.37763,-123.47756,1320.886957,754.1826087,1727.7675,,
11523200,41.11126,-122.70558,1053.343478,508.7043478,1578.0365,,
11528700,40.64986,-123.4942,1300.365217,751.7478261,1546.1967,,
11532500,41.7915,-124.07619,2008.873913,1219.813043,1690.9197,,
12010000,46.37399,-123.74348,1731.030435,1081.982609,2243.8752,,
12013500,46.65093,-123.65266,1449.213043,909.2608696,2004.4316,,
12020000,46.61732,-123.27764,1450.786957,903.3043478,2021.9497,1.641798789,
12025000,46.6201,-122.94513,1208.634783,770.7565217,1350.783,0.185221409,
12025700,46.7726,-122.59401,1392.569565,834.9173913,1906.4999,0.185221409,
12035000,47.00065,-123.49488,1221.973913,805.7782609,1986.8003,,
12040500,47.53786,-124.31575,1861.586957,1080.778261,1730.4396,,
12041200,47.80675,-124.25103,1590.869565,1018.291304,1789.7736,,
12043000,47.96008,-124.39299,1599.352174,1004.613043,1766.1924,,
12048000,48.01426,-123.13268,1486.886957,827.4695652,1547.5701,,
12054000,47.68398,-123.01155,1495.034783,820.626087,1310.1526,,
12056500,47.51426,-123.32989,1370.969565,805.1521739,1203.7512,,
12073500,47.38926,-122.69902,1364.734783,841.4695652,1052.0286,0.10467514,
12082500,46.75261,-122.08372,1393.952174,776.8217391,1896.4021,1.495589213,
12092000,46.90372,-122.03511,1425.252174,789.0913043,1599.7888,1.495589213,
12095000,47.13955,-122.09261,1062.908696,698.6478261,1752.4711,0.169243862,
12114500,47.34205,-121.54899,1258.617391,703.5130435,1487.099,0.165470752,
12115000,47.37011,-121.6251,1289.317391,788.873913,1435.5724,0.165470752,
12115500,47.35066,-121.66316,1382.069565,725.8695652,1312.4324,0.165470752,
12117000,47.38649,-121.84622,1439.817391,772.9086957,1477.6168,0.165470752,
12141300,47.48594,-121.64788,1283.682609,722.2347826,1400.1451,0.165470752,
12143600,47.4526,-121.71788,1382.46087,818.5956522,1601.4777,0.165470752,
12144000,47.49288,-121.79011,901.9695652,588.8956522,1652.6455,0.165470752,
12145500,47.53982,-121.909,1411.917391,859.6608696,1713.5588,1.967042067,
12147500,47.71232,-121.78873,1452.195652,753.4086957,1599.7848,1.967042067,
12147600,47.70677,-121.60011,1317.482609,716.7826087,1392.9563,1.967042067,
12167000,48.26149,-122.04764,1490.782609,758.9913043,1789.5867,4.462049,
12175500,48.67263,-121.0729,1108.647826,651.2086957,1021.4196,,
12178100,48.65596,-121.23846,978.4956522,593.8608696,946.08923,,
12186000,48.16872,-121.47067,1291.791304,716.4652174,1434.755,,
12189500,48.42456,-121.56846,1178.069565,739.7043478,1645.924,0.113333923,
12358500,48.49524,-114.01012,926.7217391,569.6043478,803.93536,,
12374250,47.82966,-114.69763,723.7608696,465.1565217,452.14224,,
12375900,47.4916,-114.02677,1069.652174,597.8347826,1135.7332,,
12377150,47.32299,-113.97955,1046.695652,578.8,966.0939,,
12381400,47.19549,-113.85065,973.6,576.373913,760.39856,,
12383500,47.14743,-113.97427,944.9652174,562.9217391,864.4371,,
